DISTRICT,Xco,Yco,Latitude,Longitude
ALAPPUZHA,45,-225,9.5006651,76.4124143
ERNAKULAM,55,-116,9.98408,76.2741457
IDUKKI,175,-147,9.8497872,76.9797914
KANNUR,-156,289,11.874477,75.370369
KASARAGOD,-252,440,12.510224,74.985168
KOLLAM,100,-359,8.8879509,76.5955013
KOTTAYAM,87,-203,9.6287383,76.6455326
KOZHIKODE,-73,175,11.258753,75.780411
MALAPPURAM,-14,118,11.1068448,76.1099551
PALAKKAD,109,48,10.7878985,76.4740871
PATHANAMTHITTA,139,-277,9.2780841,76.9737443
THIRUVANANTHAPURAM,180,-458,8.4882267,76.947551
THRISSUR,9,-1,10.5256264,76.2132542
WAYANAD,2,239,11.6104,76.083